Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT
172,5196,17,5477.967513,6243.333653,1047.333653,
173,5229,1,5460.624696,6000.283359,771.2833592,
174,5252,18,5718.374313,6054.268642,802.2686418,
175,5270,11,5469.200904,5745.158675,475.1586754,
176,5304,3,5508.807847,6768.081006,1464.081006,
177,5334,11,5423.274856,6296.954623,962.954623,
178,5370,9,5493.004065,6280.077879,910.0778788,
179,5393,2,5996.954468,7336.576057,1943.576057,
180,5412,9,5793.701454,5963.789987,551.7899873,
181,5438,30,5736.011817,6036.614921,598.6149208,
182,5475,1,6016.443893,6685.617601,1210.617601,
183,5497,0,5984.696877,6814.279904,1317.279904,
184,5523,6,5762.200753,6238.246061,715.2460607,
185,5551,9,5920.542559,6521.725129,970.7251293,
186,5578,15,6135.226166,7094.165684,1516.165684,
187,5607,30,6182.440159,6799.240739,1192.240739,
188,5633,7,5915.001773,6739.157106,1106.157106,
189,5668,26,6177.43567,6765.952268,1097.952268,
190,5700,5,6117.076732,6184.552653,484.5526532,
191,5724,4,5849.219807,6510.521122,786.5211218,
192,5761,6,6345.677497,7181.7441,1420.7441,
193,5779,20,6180.175307,7339.33459,1560.33459,
194,5812,18,6106.96315,6645.32756,833.3275604,
195,5834,31,6183.477822,7322.348837,1488.348837,
196,5868,5,6314.717817,6999.636062,1131.636062,
197,5897,13,6488.467723,6563.093456,666.093456,
198,5943,12,6329.874657,6888.630273,945.6302728,
199,5972,12,6660.971698,7560.558825,1588.558825,
200,6003,12,6636.075035,7174.778107,1171.778107,
201,6051,12,6885.82034,7204.972341,1153.972341,
202,6075,12,6956.320033,7360.173967,1285.173967,
203,6107,17,6381.987899,6739.484489,632.4844886,
204,6141,18,6678.463643,7828.555144,1687.555144,
205,6166,22,6363.040605,6889.946103,723.9461034,
206,6190,29,6429.263149,7224.583813,1034.583813,
207,6214,10,6783.912366,7792.433798,1578.433798,
208,6247,14,6408.320699,6995.306267,748.306267,
209,6284,16,6504.639978,6944.135151,660.1351514,
210,6307,16,6717.124371,7332.667221,1025.667221,
211,6342,16,6778.004587,7406.355604,1064.355604,
212,6374,16,6613.169396,7596.264982,1222.264982,
213,6404,12,6783.41534,7081.836759,677.8367593,
214,6430,13,6816.945775,7375.737514,945.7375143,
215,6471,25,6785.468827,7347.417414,876.417414,
216,6514,22,6886.425832,7439.933765,925.9337646,
217,6541,11,6875.071849,7513.838743,972.8387427,
218,6567,17,6954.716921,8200.503163,1633.503163,
219,6599,12,7038.987306,7783.215123,1184.215123,
220,6632,4,7022.61618,7632.476,1000.476,
221,6656,7,6997.087965,7276.312831,620.3128307,
222,6693,30,7083.383308,7975.624869,1282.624869,
223,6730,1,6926.420467,7624.385765,894.3857651,
224,6756,28,7179.098097,7735.088205,979.0882052,
225,6784,28,7074.688837,7632.153904,848.1539043,
226,6811,28,7243.986143,7839.187789,1028.187789,
227,6842,3,7126.102094,8063.601467,1221.601467,
228,6877,28,6983.154527,7620.569722,743.569722,
229,6909,26,7164.068618,7704.020987,795.0209871,
230,6943,9,7333.385707,7813.199212,870.1992121,
231,6972,7,7582.450597,8048.246633,1076.246633,
232,7005,0,7055.695167,7917.857533,912.8575332,
233,7037,14,7470.887082,7773.36518,736.3651805,
234,7069,15,7634.127419,8723.795717,1654.795717,
235,7101,29,7562.60748,8109.667644,1008.667644,
236,7124,27,7599.269397,8639.665956,1515.665956,
237,7163,16,7493.800544,8053.675544,890.6755436,
238,7191,31,7631.012083,8752.584387,1561.584387,
239,7221,5,7430.117192,8059.165148,838.1651481,
240,7248,6,7771.05449,8237.067366,989.0673658,
241,7282,11,7611.692281,8255.652294,973.6522938,
242,7312,25,7914.290416,9039.724554,1727.724554,
243,7344,4,7779.744981,7946.693726,602.6937256,
244,7373,9,7871.737847,8525.408253,1152.408253,
245,7396,13,7514.431415,8210.166241,814.166241,
246,7426,2,7598.626765,8464.222955,1038.222955,
247,7458,1,7783.092016,8297.565574,839.5655737,
248,7485,26,7738.511984,8465.728537,980.7285372,
249,7516,22,7721.664776,8433.564214,917.5642141,
250,7545,0,7952.015182,8878.468509,1333.468509,
251,7580,18,8256.696476,8841.416067,1261.416067,
252,7624,23,7928.138127,8277.229938,653.2299375,
253,7651,23,8409.002639,8881.308683,1230.308683,
254,7682,23,8272.858697,8714.442211,1032.442211,
255,7709,23,8152.843441,8893.335845,1184.335845,
256,7741,23,8307.083033,8470.802305,729.8023047,
257,7770,28,8063.846899,8816.227095,1046.227095,
258,7800,27,7841.773197,8869.312152,1069.312152,
259,7823,23,8128.56505,8487.854507,664.854507,
260,7853,16,8107.483791,8436.002591,583.0025907,
261,7874,20,8088.478437,8855.037224,981.0372239,
262,7905,4,8170.693726,9289.470719,1384.470719,
263,7932,5,8159.554389,8716.782218,784.7822184,
264,7962,12,8160.949742,8577.641308,615.6413083,
265,7994,7,8313.761228,8798.94734,804.9473403,
266,8030,23,8316.845126,8587.165992,557.1659925,
267,8066,17,8281.657337,8931.750873,865.7508732,
268,8093,29,8350.268974,9578.120703,1485.120703,
269,8117,1,8470.105424,9247.610215,1130.610215,
270,8148,6,8532.165863,9225.396299,1077.396299,
271,8173,14,8570.528615,8844.419104,671.4191044,
272,8210,14,8655.126264,9568.607154,1358.607154,
273,8240,13,8373.003759,8922.015411,682.0154106,
274,8269,20,8641.440342,9391.425409,1122.425409,
275,8295,23,8685.82196,9616.472648,1321.472648,
276,8330,16,8444.646948,9120.728303,790.7283031,
277,8363,26,8776.858735,9865.208601,1502.208601,
278,8397,9,8601.95889,9069.216575,672.2165754,
279,8428,12,8731.209499,9259.589176,831.5891756,
280,8466,5,8814.301972,9552.068368,1086.068368,
281,8498,22,8876.021163,8966.00641,468.00641,
282,8531,28,8846.407507,9603.119981,1072.119981,
283,8566,27,8953.051071,10142.19144,1576.191441,
284,8586,22,8929.786066,9877.690569,1291.690569,
285,8615,30,8855.6512,9491.27667,876.2766702,
286,8641,15,8773.943597,9933.545844,1292.545844,
287,8679,31,8909.211332,10214.32363,1535.323627,
288,8713,30,9133.738371,9961.235953,1248.235953,
289,8747,3,8937.065778,9659.196323,912.1963232,
290,8771,13,9001.16699,9712.33786,941.33786,
291,8810,17,9150.931164,9871.031312,1061.031312,
292,8837,3,9206.708257,10123.44118,1286.441181,
293,8865,25,9219.062224,10370.98169,1505.981692,
294,8900,1,9457.92902,10539.83524,1639.835242,
295,8934,7,9362.85079,10490.44824,1556.448236,
296,8961,20,9429.844154,10034.76313,1073.763128,
297,8996,18,9217.73182,10114.60758,1118.607576,
298,9022,9,9391.706885,9890.440415,868.4404152,
299,9050,12,9466.37992,10385.72333,1335.723334,
300,9075,16,9543.084788,10278.36977,1203.369766,
301,9102,0,9696.428297,10270.90197,1168.901969,
302,9133,6,9508.000262,9700.396299,567.3962991,
303,9159,5,9720.748538,10586.56507,1427.565071,
304,9190,4,9935.603833,10804.60901,1614.609011,
305,9227,29,9727.803701,10715.02967,1488.029666,
306,9263,21,9735.149341,10253.03833,990.038325,
307,9294,21,9809.349396,10509.32797,1215.327967,
308,9333,21,9623.738714,10144.14368,811.1436809,
309,9358,21,9393.057096,10184.11466,826.1146638,
310,9386,21,9822.114664,10143.04456,757.0445627,
311,9415,21,10149.37388,10291.74312,876.7431212,
312,9438,21,10111.85829,10313.86077,875.8607689,
313,9458,21,10272.3611,10670.7604,1212.760396,
314,9483,21,9847.021977,10468.19577,985.1957661,
315,9513,21,9769.561883,10754.60672,1241.606717,
316,9543,14,9760.315265,10104.97997,561.9799655,
317,9568,26,10094.74727,10880.35578,1312.355784,
318,9610,21,10016.03677,10988.71452,1378.714523,
319,9642,13,10215.55153,10605.14876,963.1487602,
320,9669,6,9972.412843,10788.00149,1119.001488,
321,9694,15,10131.64034,10430.30418,736.3041847,
322,9717,9,10135.4098,10461.65852,744.6585158,
323,9744,23,10102.4034,10574.43274,830.4327417,
324,9768,22,10226.07254,10830.18679,1062.186791,
325,9793,30,10223.90304,11157.38234,1364.382342,
326,9826,14,10282.08163,10995.91609,1169.916089,
327,9857,18,10238.05242,10898.71117,1041.711168,
328,9885,3,10448.05788,11308.17447,1423.17447,
329,9920,31,10426.85363,11520.48628,1600.486277,
330,9960,20,10288.10085,10726.70683,766.7068317,
331,9995,25,10515.5258,11174.71107,1179.711072,
332,10024,17,10389.08766,11063.3335,1039.333504,
333,10042,0,10672.14244,10936.18978,894.1897803,
334,10078,11,10299.38202,10820.50674,742.5067375,
335,10105,11,10513.86428,11012.1664,907.1663979,
336,10144,11,10642.30212,11022.97126,878.9712649,
337,10182,23,10684.20899,11480.16273,1298.162726,
338,10215,27,10334.62023,10891.50305,676.5030541,
339,10252,16,10470.97299,10961.58129,709.5812941,
340,10289,10,10583.26689,10802.62848,513.6284757,
341,10325,10,10833.30306,11336.38953,1011.389533,
342,10359,10,11238.71927,11706.73637,1347.736367,
343,10381,12,10506.56207,11220.53903,839.5390265,
344,10411,7,10531.50726,11331.2688,920.2687998,
345,10439,15,10576.05838,11720.6709,1281.670903,
346,10469,9,10749.4015,11309.45866,840.4586552,
347,10505,20,10863.76521,12044.89324,1539.893235,
348,10537,1,10665.28244,11717.19348,1180.193483,
349,10587,5,10870.01943,11378.93159,791.9315862,
350,10615,13,10760,11178.10401,563.104015,
351,10655,6,10989.6968,11359.20303,704.2030335,
352,10686,21,11022.72923,12057.2755,1371.2755,
353,10718,10,10893.28548,11771.59626,1053.596263,
354,10746,18,10995.27721,11512.0047,766.0046969,
355,10778,11,10852.33034,11337.1183,559.1183018,
356,10807,27,10882.39693,11656.33833,849.3383265,
357,10836,4,10910.10803,11697.79339,861.793387,
358,10869,16,11417.12932,12328.22536,1459.225359,
359,10908,0,11200.23712,11744.78983,836.789828,
360,10937,12,11377.51355,12082.92129,1145.921287,
361,10967,26,11034.23095,11684.61105,717.6110499,
362,10997,25,11251.73704,11604.93544,607.9354431,
363,11028,14,11146.87809,11714.05574,686.055738,
364,11046,17,11419.64823,11609.80736,563.8073646,
365,11071,29,11518.1521,12233.64703,1162.647033,
366,11099,30,11347.00302,12022.04643,923.0464338,
367,11134,7,11780.95043,12163.74281,1029.742805,
368,11162,13,11573.89424,12068.32826,906.3282624,
369,11181,11,11489.72214,12371.6772,1190.677204,
370,11209,3,11370.85621,12735.26463,1526.26463,
371,11230,6,11593.89432,12108.0289,878.0288966,
372,11260,5,11563.375,12214.79364,954.7936431,
373,11287,25,11907.1688,12925.51483,1638.514832,
374,11321,23,11855.52921,12480.2201,1159.2201,
375,11342,18,11784.84348,12118.90329,776.9032908,
376,11373,28,11749.80897,12227.66332,854.663319,
377,11404,28,11719.65963,11898.70912,494.7091209,
378,11431,28,11547.21101,12565.26877,1134.268769,
379,11461,15,11767.00235,12662.60687,1201.606875,
380,11485,26,11780.02726,12697.85767,1212.857671,
381,11512,31,11911.97829,12489.82256,977.8225643,
382,11545,17,12080.21024,12964.81241,1419.81241,
383,11573,4,12010.40385,12592.55536,1019.555361,
384,11603,27,11907.43592,12257.5941,654.5940956,
385,11634,10,11760.40174,12646.94798,1012.94798,
386,11679,19,11957.64852,12691.88683,1012.886828,
387,11716,19,11965.68781,12764.60838,1048.608381,
388,11746,19,12480.79861,13132.42811,1386.428108,
389,11778,19,12352.63467,13209.66442,1431.664421,
390,11809,19,12288.58837,12619.82997,810.8299688,
391,11833,13,12096.32826,13274.05371,1441.053706,
392,11867,0,12126.42244,13056.82811,1189.828107,
393,11893,12,12179.17616,13201.2756,1308.275596,
394,11929,22,11952.5372,13164.72927,1235.729271,
395,11948,14,12159.60577,12665.94054,717.9405434,
396,11967,19,12251.31848,12567.38061,600.3806075,
397,11996,21,12119.56515,12961.14805,965.1480522,
398,12032,20,12245.58454,13185.8979,1153.897896,
399,12054,29,12380.71088,12862.11601,808.1160126,
400,12081,6,12299.66658,13088.55832,1007.55832,
401,12111,30,12483.54262,12791.84876,680.8487579,
402,12144,5,12420.76694,13273.16255,1129.162553,
403,12171,18,12448.84888,13142.38197,971.3819743,
404,12198,22,12672.45548,13591.77044,1393.77044,
