,1800,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800,21600,23400,25200,27000,28800,30600,32400,34200,36000,37800,39600,41400,43200,45000,46800,48600,50400,52200,54000,55800,57600,59400,61200,63000,64800,66600,68400,70200,72000,73800,75600,77400
25,847.29,991.82,1318.52,1537.66,1822.75,2029.51,2392.51,2762.33,2990.58,3120.77,3445.74,3822.39,4100.73,4443.26,4775.94,5083.68,5328.31,5543.12,5714.0,5933.88,6194.83,6568.71,6999.41,7414.67,7722.4,7926.09,8122.91,8388.99,8697.49,8912.54,9270.28,9599.51,9922.14,10291.13,10666.4,10957.5,11359.42,11646.47,11848.0,12123.31,,,
26,785.22,1085.54,1394.11,1759.13,2206.04,2523.6,2931.53,3091.06,3350.68,3718.41,3991.26,4294.05,4475.92,4765.43,4892.77,5352.09,5573.52,5734.0,5987.19,6227.65,6429.61,6759.48,6892.23,7197.12,7387.09,7821.2,8088.17,8403.07,8722.55,8966.45,9262.6,9503.2,9828.3,10237.17,10665.56,10965.61,11247.24,11565.74,11804.68,12137.32,,,
27,868.0,1103.66,1303.66,1594.06,1767.36,2069.73,2288.48,2528.22,2861.14,3268.26,3425.23,3633.21,4009.28,4318.29,4574.01,4827.79,5067.56,5390.33,5636.69,5852.65,6175.41,6331.63,6585.38,6710.55,7060.52,7455.67,7719.02,7945.7,8219.98,8410.67,8668.67,8956.86,9298.16,9495.02,9807.34,10107.53,10486.66,10706.88,11066.75,11128.02,,,
28,801.27,1085.0,1394.03,1617.25,1814.19,1983.49,2217.77,2523.39,2719.48,2934.65,3158.2,3512.49,3700.58,3939.86,4149.23,4317.23,4655.11,4957.84,5252.74,5450.8,5709.01,5988.31,6189.48,6447.6,6811.6,7122.75,7366.73,7518.83,7731.6,8033.63,8279.61,8463.56,8798.87,9063.36,9448.1,9556.25,9668.65,9899.94,10171.6,,,,
29,833.64,1081.43,1506.44,1830.04,2046.14,2381.81,2570.56,2786.61,3111.36,3538.32,3813.67,4075.75,4181.38,4558.58,4788.75,5149.01,5522.41,5795.72,6179.53,6465.84,6788.37,7102.64,7419.96,7675.0,7893.36,8202.55,8442.6,8575.07,8988.31,9439.95,9673.04,9962.89,10179.69,10515.33,10887.15,11161.5,11556.27,11871.52,12140.31,12516.27,,,
30,722.28,836.9,879.55,954.71,1210.57,1395.0,1613.98,1946.03,2104.79,2277.05,2401.78,2527.11,2715.95,3010.79,3101.38,3218.34,3561.34,3880.27,4113.87,4291.18,4511.57,4748.1,4918.98,5037.26,5235.58,5541.41,5718.49,5923.34,6137.47,6471.89,6829.11,6982.51,7237.4,7420.01,7645.84,7906.28,8134.35,8379.69,,,,,
31,705.55,960.02,1190.15,1502.93,1803.6,2180.43,2418.0,2701.03,3053.99,3386.51,3784.56,4268.87,4548.59,4879.08,5069.07,5283.48,5694.32,6161.09,6515.3,6848.46,7231.68,7454.94,7887.49,8131.31,8429.75,8624.77,8934.04,9338.13,9482.44,9770.12,9945.49,10216.22,10392.54,10572.13,10800.98,10970.73,11167.51,11594.42,11917.53,12246.81,,,
32,806.65,935.17,1141.83,1328.21,1607.04,1862.31,2132.42,2386.63,2503.54,2801.75,2904.41,2984.51,3204.81,3529.08,3661.32,3828.92,4092.43,4445.71,4688.55,5048.83,5169.08,5185.5,5306.6,5509.94,5664.85,5900.66,6186.79,6426.7,6479.37,6692.15,6840.19,7025.7,7197.16,7401.95,7688.3,7825.28,8039.76,8155.19,,,,,
33,775.38,987.11,1237.04,1411.63,1636.45,1968.63,2149.73,2407.94,2570.01,2915.44,3236.03,3478.69,3768.66,4031.68,4401.13,4627.66,4811.17,5132.75,5287.43,5630.76,5885.96,6137.49,6231.1,6502.58,6628.02,6942.25,7206.32,7378.37,7718.61,8024.27,8447.0,8870.48,9226.04,9600.0,10011.77,10233.41,10416.51,10713.55,10948.97,,,,
34,870.34,1151.48,1411.59,1802.3,2149.89,2378.61,2714.47,3063.81,3442.85,3862.46,4310.88,4661.26,4972.93,5382.34,5640.8,6065.51,6430.48,6773.12,7068.76,7329.3,7550.95,7743.43,8098.2,8487.2,8801.06,9051.52,9491.78,9947.49,10304.44,10573.12,10835.72,11278.75,11679.99,11949.67,12313.36,12688.46,13022.94,13251.45,13533.64,13793.29,14200.32,,
35,761.53,971.95,1472.58,1960.64,2416.75,2884.66,3325.57,3738.16,4048.46,4461.5,4768.69,5235.47,5589.4,6082.1,6454.93,6731.75,7190.0,7627.24,8034.99,8392.65,8793.51,9145.09,9569.56,9893.18,10319.59,10827.77,11164.98,11570.69,11905.0,12341.91,12736.51,13176.75,13536.36,13953.96,14354.89,14752.78,15121.92,15445.08,15833.56,16243.71,16824.95,17202.12,17602.91
36,734.49,909.3,1179.88,1325.13,1448.99,1713.38,1944.98,2186.15,2393.51,2712.66,2983.73,3300.79,3466.1,3812.36,4147.37,4324.77,4636.67,4871.53,5102.03,5324.01,5613.32,5824.48,6113.1,6301.35,6564.62,6728.34,7025.79,7196.1,7460.87,7472.04,7820.99,8014.87,8305.49,8511.53,8734.12,9142.86,9456.36,9707.75,10025.32,,,,
