Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
121,3728,98,3783.731499172371,3906.4058648727896,178.4058648727896,122.67436570041855,55.73149917237106
122,3766,76,3862.254870006665,4054.1428581664245,288.1428581664245,191.88798815975952,96.25487000666499
123,3799,26,3892.8616002420586,4368.749192011375,569.7491920113753,475.8875917693167,93.86160024205856
124,3824,40,3859.0,4707.854522282823,883.8545222828234,848.8545222828234,35.0
125,3852,74,3907.9016994374947,4140.009433044112,288.0094330441116,232.10773360661688,55.9016994374947
126,3884,7,4006.1883791528476,4757.147765538023,873.1477655380231,750.9593863851755,122.18837915284757
127,3911,61,4032.597697346619,4878.645568332653,967.645568332653,846.047870986034,121.59769734661904
128,3939,98,4014.7165767847437,4216.91697243223,277.91697243223007,202.2003956474864,75.71657678474367
129,3969,51,4012.324358044869,4490.145454272317,521.1454542723168,477.8210962274479,43.32435804486886
130,3991,8,4168.552809045647,5181.27192113942,1190.2719211394196,1012.7191120937723,177.55280904564734
131,4026,46,4066.8044115262064,4532.354623640861,506.35462364086106,465.55021211465464,40.80441152620642
132,4065,80,4270.0,4836.625978931429,771.625978931429,566.625978931429,205.0
133,4092,52,4257.245272247045,4622.287735530428,530.2877355304281,365.04246328338286,165.24527224704525
134,4119,36,4224.848948979194,4778.517622465422,659.5176224654224,553.6686734862287,105.84894897919366
135,4150,5,4222.470683727974,4912.447494932524,762.447494932524,689.9768112045504,72.47068372797366
136,4192,78,4274.758685344802,4448.942496303226,256.9424963032261,174.18381095842415,82.75868534480196
137,4222,25,4310.005681634767,4905.543253917154,683.5432539171543,595.5375722823874,88.00568163476692
138,4257,96,4424.800476757368,4486.200802489403,229.20080248940303,61.40032573203462,167.80047675736841
139,4286,76,4477.8879881597595,4911.017299105117,625.0172991051168,433.12931094535725,191.88798815975952
140,4310,86,4465.219199843318,5288.146900191289,978.1469001912892,822.927700347971,155.21919984331817
141,4341,98,4543.200395647486,4820.617049797882,479.6170497978819,277.4166541503955,202.2003956474864
142,4374,94,4535.941347407016,5201.861763072432,827.861763072432,665.9204156654159,161.9413474070161
143,4407,92,4536.799845916704,4903.521811443722,496.5218114437221,366.72196552701826,129.79984591670382
144,4444,26,4610.964067990691,5198.352355241977,754.3523552419774,587.3882872512868,166.96406799069064
145,4479,24,4534.145262715849,5268.300559638782,789.300559638782,734.1552969229333,55.14526271584873
146,4514,64,4701.299225839297,5717.433567351284,1203.4335673512842,1016.1343415119873,187.29922583929692
147,4556,91,4759.177262507397,5445.66469866337,889.6646986633696,686.4874361559723,203.17726250739724
148,4599,35,4700.390334845092,5417.892948080752,818.8929480807519,717.5026132356597,101.39033484509218
149,4623,78,4849.73552875542,5373.663958982298,750.663958982298,523.9284302268779,226.7355287554201
150,4662,46,4781.808180021232,5445.508413560441,783.5084135604411,663.700233539209,119.80818002123215
151,4690,6,4870.922635399776,5571.086187721659,881.0861877216594,700.1635523218838,180.92263539977557
152,4713,96,4793.622577482985,5232.863968975181,519.8639689751808,439.24139149219536,80.62257748298543
153,4742,40,4896.029218007494,5045.059416289587,303.0594162895868,149.0301982820929,154.0292180074939
154,4772,33,4850.714674616618,5193.001104379762,421.0011043797622,342.28642976314404,78.71467461661814
155,4808,36,4914.437775249204,5815.630873314208,1007.6308733142077,901.193098065004,106.4377752492037
156,4828,51,5044.614865602525,5138.63613979087,310.6361397908704,94.02127418834516,216.61486560252524
157,4863,0,5067.599608992784,5465.056524896885,602.0565248968851,397.45691590410115,204.59960899278394
158,4887,52,5027.035709731483,5420.894821597642,533.8948215976416,393.85911186615886,140.0357097314827
159,4920,72,5140.19309707618,5738.511574143368,818.5115741433683,598.3184770671887,220.19309707617958
160,4960,79,5098.003623140844,5789.862712840473,829.8627128404733,691.8590896996293,138.00362314084396
161,4994,25,5194.339711490258,5963.5113438324815,969.5113438324815,769.1716323422233,200.3397114902582
162,5029,47,5325.588941128964,5733.5901666173195,704.5901666173195,408.0012254883559,296.5889411289636
163,5060,2,5150.1387818866,5978.6615637097675,918.6615637097675,828.5227818231679,90.13878188659965
164,5090,19,5456.972751032008,5758.397700231639,668.3977002316387,301.42494919963065,366.9727510320081
165,5118,13,5377.0598386473675,5680.092840150504,562.0928401505043,303.0330015031368,259.05983864736754
166,5161,85,5384.215142855497,5944.580202437195,783.5802024371951,560.365059581698,223.2151428554971
167,5195,99,5276.049367671809,5426.062700412602,231.06270041260177,150.01333274079298,81.0493676718088
168,5220,61,5402.09887424144,5565.273627190541,345.27362719054145,163.17475294910128,182.09887424144017
169,5254,51,5471.423549782447,6220.6164488411605,966.6164488411605,749.1928990587139,217.42354978244657
170,5283,26,5481.725941940151,5728.0631092535705,445.0631092535705,246.33716731341974,198.72594194015073
171,5312,94,5396.314885992925,5931.63535076146,619.6353507614604,535.3204647685352,84.31488599292516
172,5333,97,5512.888854574151,6084.288014531531,751.2880145315312,571.3991599573801,179.88885457415108
173,5357,24,5422.924198895398,6205.8584234634645,848.8584234634645,782.9342245680664,65.92419889539815
174,5378,98,5477.924971853887,5920.333154418359,542.3331544183593,442.40818256447255,99.92497185388675
175,5410,78,5562.829970882677,6740.446631770252,1330.4466317702518,1177.6166608875747,152.82997088267712
176,5448,96,5507.464274989274,5991.291723569861,543.2917235698606,483.82744858058686,59.46427498927369
177,5480,52,5549.892775020026,6422.090573687278,942.0905736872783,872.1977986672518,69.89277502002642
178,5507,21,5843.293026986882,6338.947140255399,831.9471402553991,495.654113268517,336.29302698688207
179,5532,55,5762.054341406547,6496.690305677287,964.6903056772871,734.6359642707403,230.05434140654688
180,5568,91,5603.805027579936,5779.989589900249,211.98958990024857,176.18456232031258,35.805027579935995
181,5611,61,5774.1747529491,6567.184841157315,956.1848411573146,793.0100882082143,163.17475294910037
