,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery = t.riderReachesRestaurant - t.orderIn
,340,10294,19,10892.17138,11266.05906,972.0590638,373.8876837,598.1713801
,341,10327,19,10885.60541,11583.15827,1256.158272,697.5528654,558.6054063
,342,10353,19,11017.20855,11446.15377,1093.15377,428.9452179,664.2085516
,343,10392,3,10523.64346,11342.38945,950.3894502,818.7459924,131.6434579
,344,10422,3,10932.247,11349.55384,927.5538406,417.3068415,510.246999
,345,10448,3,11054.90115,11431.9701,983.9701044,377.0689592,606.9011452
,346,10479,3,10951.84776,11295.22073,816.2207307,343.3729751,472.8477556
,347,10510,23,10669.66527,11323.2523,813.2523004,653.5870256,159.6652749
,348,10535,19,10955.31536,11136.47275,601.4727479,181.1573901,420.3153578
,349,10566,15,10809.2879,11126.38725,560.3872488,317.0993535,243.2878953
,350,10609,18,10756.23111,11213.90458,604.9045752,457.6734644,147.2311108
,351,10647,3,10683.01389,11054.24562,407.2456198,371.2317336,36.01388621
,352,10672,8,10824.86923,11744.43108,1072.431077,919.5618522,152.8692252
,353,10709,2,10738.06888,11386.67354,677.6735399,648.6046562,29.06888371
,354,10736,20,10906.20576,11589.3646,853.3645973,683.1588395,170.2057578
,355,10779,14,10863.20214,11608.72544,829.7254439,745.5233061,84.20213774
,356,10818,19,11039.02036,11632.35753,814.3575333,593.3371723,221.0203611
,357,10840,3,10954.47707,11233.07714,393.0771437,278.6000718,114.4770719
,358,10863,7,10953.02777,11437.82051,574.8205127,484.7927392,90.02777349
,359,10890,7,11631.5558,11791.5558,901.555797,160,741.555797
,360,10918,7,11408.97861,11742.05218,824.0521801,333.0735654,490.9786146
,361,10951,13,11027.00658,11849.88992,898.889924,822.8833453,76.00657866
,362,10976,15,11318.34778,12371.78596,1395.785957,1053.43818,342.3477764
,363,11009,7,11415.90662,11690.71019,681.7101894,274.8035662,406.9066232
,364,11031,10,11263.7939,11614.1266,583.1265993,350.332699,232.7939003
,365,11063,10,11585.34567,12254.10946,1191.109456,668.7637849,522.345671
