,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
,108,3240,10,3522.193196,3726.281412,486.2814125,204.0882162,282.1931962
,109,3268,8,3611.110769,4536.910964,1268.910964,925.8001944,343.1107693
,110,3297,26,3631.755134,4650.136694,1353.136694,1018.381559,334.7551344
,111,3326,25,3470.461067,4238.331499,912.3314992,767.8704318,144.4610674
,112,3355,21,3541.077941,3679.775453,324.7754533,138.6975126,186.0779407
,113,3386,32,3629.310501,4377.965295,991.9652948,748.6547936,243.3105012
,114,3417,27,4133.034217,4718.908777,1301.908777,585.87456,716.0342171
,115,3448,22,4017.5507,4939.7741,1491.7741,922.2234003,569.5507001
,116,3480,29,3991.375596,4557.765038,1077.765038,566.389442,511.3755958
,117,3506,12,3830.895368,4539.192622,1033.192622,708.297254,324.8953678
,118,3532,4,4104.43777,4572.673821,1040.673821,468.2360516,572.4377695
,119,3559,3,3970.407341,4677.231223,1118.231223,706.8238819,411.4073407
,120,3587,11,3617.88689,3941.222629,354.2226292,323.3357388,30.88689042
,121,3627,9,3920.402454,4368.174718,741.1747175,447.7722635,293.402454
,122,3664,0,3686.203603,3869.738341,205.7383412,183.5347379,22.20360331
,123,3698,34,3990.919784,4124.441318,426.4413181,133.5215338,292.9197842
,124,3721,1,3991.691707,4511.43876,790.4387604,519.7470539,270.6917066
,125,3753,18,3814.032778,4828.655861,1075.655861,1014.623083,61.03277808
,126,3779,28,3860.8352,4122.034358,343.034358,261.1991577,81.83520025
,127,3807,10,4049.258127,4206.750984,399.7509838,157.492857,242.2581268
,128,3837,16,4077.052078,4611.304827,774.3048269,534.2527492,240.0520777
,129,3864,24,3925.073726,4590.269186,726.2691859,665.19546,61.07372594
,130,3896,0,4181.805878,4694.111451,798.1114511,512.3055729,285.8058782
,131,3925,33,4346.683531,4930.507134,1005.507134,583.8236035,421.6835306
,132,3956,21,4047.021975,4178.877957,222.8779574,131.855982,91.02197537
,133,3987,5,4473.072011,5501.6346,1514.6346,1028.562589,486.0720111
,134,4023,11,4139.503219,4870.126241,847.1262407,730.6230218,116.5032188
,135,4054,14,4582.851586,4926.887921,872.8879213,344.0363353,528.851586
,136,4079,6,4161.134037,4417.853728,338.8537283,256.7196915,82.13403679
,137,4112,20,4500.434036,5112.964851,1000.964851,612.5308156,388.4340356
,138,4139,28,4403.643156,5094.750239,955.7502388,691.1070829,264.643156
,139,4167,19,4311.810221,4944.37089,777.3708897,632.560669,144.8102206
,140,4209,13,4434.62358,4620.553675,411.5536747,185.9300944,225.6235803
,141,4243,2,4256.892444,4751.997483,508.9974833,495.1050394,13.89244399
,142,4263,10,4419.310588,4896.64171,633.6417102,477.331122,156.3105883
,143,4296,7,4458.800491,4817.611026,521.6110264,358.810535,162.8004914
,144,4327,21,4556.192059,4767.383915,440.3839151,211.1918559,229.1920592
,145,4348,17,4437.185201,4602.895792,254.8957917,165.7105911,89.18520057
,146,4377,34,4471.339811,4690.795957,313.7959573,219.456146,94.33981132
,147,4421,6,4712.156315,5486.712963,1065.712963,774.5566474,291.1563154
,148,4455,9,5024.572647,5586.72654,1131.72654,562.1538935,569.5726468
,149,4482,23,5093.310069,5401.467496,919.4674959,308.1574273,611.3100686
,150,4510,32,4883.048254,5093.656896,583.656896,210.6086418,373.0482543
,151,4542,8,4757.406592,4928.008468,386.008468,170.6018757,215.4065923
,152,4567,12,4998.056841,5359.826104,792.8261043,361.7692635,431.0568408
,153,4593,4,5024.324704,5632.509708,1039.509708,608.1850047,431.3247037
,154,4625,25,4737.871608,5489.225719,864.2257194,751.3541109,112.8716085
,155,4652,29,4883.205536,5187.406128,535.406128,304.2005917,231.2055363
,156,4684,16,4839.206314,5368.252626,684.2526261,529.0463118,155.2063143
,157,4718,26,4833.974135,5737.912739,1019.912739,903.9386041,115.974135
,158,4746,17,4955.0598,5104.545585,358.5455853,149.4857853,209.0598001
,159,4774,2,4902.082005,5869.586527,1095.586527,967.504522,128.082005
,160,4800,24,4914.72576,5669.537657,869.5376571,754.8118971,114.72576
,161,4826,27,5037.910358,5257.022202,431.022202,219.1118436,211.9103584
,162,4862,21,5196.053888,5824.108026,962.1080257,628.0541378,334.0538879
,163,4890,7,5156.176633,5898.34912,1008.34912,742.1724867,266.1766331
,164,4923,13,5108.930094,5355.395102,432.395102,246.4650077,185.9300944
,165,4957,34,5130.358011,5489.59331,532.59331,359.2352989,173.3580111
,166,4987,14,5262.307101,5363.203087,376.2030873,100.895986,275.3071013
,167,5015,33,5080.764732,5320.474974,305.4749739,239.7102418,65.76473219
,168,5044,3,5379.657564,5549.083063,505.0830634,169.4254999,335.6575636
,169,5075,8,5199.823876,5404.178959,329.178959,204.3550831,124.8238759
,170,5093,1,5125.015621,5245.518733,152.5187332,120.503112,32.01562119
,171,5117,0,5499.686556,6130.172083,1013.172083,630.4855272,382.6865558
,172,5149,11,5618.965956,6104.321496,955.321496,485.3555398,469.9659562
,173,5176,32,5279.812331,5478.52066,302.5206596,198.708329,103.8123307
,174,5205,20,5602.156141,6221.650289,1016.650289,619.4941485,397.1561406
,175,5240,10,5351.865991,5555.050636,315.0506363,203.1846451,111.8659913
,176,5266,19,5438.58621,6209.136663,943.1366629,770.5504526,172.5862103
,177,5303,27,5727.745806,6432.752189,1129.752189,705.0063829,424.7458063
,178,5334,29,6008.000742,6884.157121,1550.157121,876.1563787,674.0007418
,179,5356,17,5518.631485,6161.403607,805.4036066,642.7721214,162.6314853
,180,5399,12,5491.655275,5716.299438,317.2994381,224.6441631,92.65527508
,181,5425,13,5458.301652,5730.920433,305.9204331,272.6187815,33.30165161
,182,5455,8,5593.92444,5931.937753,476.9377532,338.0133133,138.9244399
,183,5484,16,5566.462113,5679.267254,195.2672542,112.8051417,82.46211251
,184,5519,25,5810.34344,6028.868038,509.8680381,218.5245982,291.3434399
,185,5547,33,5663.726175,6127.196778,580.1967785,463.4706032,116.7261753
,186,5580,14,5779.719804,6481.464059,901.4640591,701.7442554,199.7198037
,187,5614,23,5837.807953,6125.7958,511.7958004,287.987847,223.8079534
,188,5657,15,5720.890531,6807.948947,1150.948947,1087.058416,63.89053138
,189,5681,34,5822.852036,5976.452166,295.4521658,153.6001302,141.8520356
,190,5710,9,5807.943861,6021.908812,311.9088119,213.9649504,97.94386147
,191,5734,6,5801.535176,6130.808619,396.8086186,329.2734426,67.53517602
,192,5765,16,5877.805142,6133.605845,368.6058454,255.8007037,112.8051417
,193,5803,12,6085.063823,6280.19711,477.1971103,195.1332878,282.0638226
,194,5829,32,5926.744565,6538.549272,709.5492725,611.8047074,97.74456507
,195,5860,21,6070.069036,6895.869254,1035.869254,825.800218,210.0690363
,196,5882,5,5983.242284,6485.911161,603.9111608,502.6688771,101.2422837
,197,5915,3,6137.948425,6788.004576,873.0045759,650.0561514,222.9484245
,198,5937,2,6093.339374,6660.099465,723.0994648,566.7600903,156.3393744
,199,5972,10,6017.694639,6521.683726,549.6837258,503.9890872,45.69463864
,200,6002,4,6292,6719.739407,717.7394066,427.7394066,290
,201,6035,7,6158.065023,7142.224563,1107.224563,984.1595399,123.0650235
,202,6074,18,6427.012748,7202.415869,1128.415869,775.403121,353.0127476
,203,6095,26,6233.361844,6869.028424,774.0284237,635.6665793,138.3618445
,204,6123,13,6227.67569,6844.393615,721.3936154,616.7179258,104.6756896
,205,6149,9,6396.420694,6487.420694,338.4206944,91,247.4206944
,206,6183,8,6411.484135,7012.254474,829.2544739,600.7703388,228.4841351
,207,6207,30,6435.280529,7129.065799,922.0657985,693.7852694,228.2805292
,208,6222,6,6441.718001,7030.704419,808.7044186,588.9864175,219.7180011
,209,6249,20,6348,7025.974926,776.9749258,677.9749258,99
,210,6284,34,6374,6612.365266,328.3652659,238.3652659,90
,211,6319,33,6403.852814,7254.862214,935.8622144,851.0094007,84.85281374
,212,6348,16,6676.402192,7136.332622,788.332622,459.9304295,328.4021924
,213,6374,1,6419.177428,7202.677907,828.6779066,783.5004786,45.17742799
,214,6412,12,6743.887029,7045.384956,633.384956,301.497927,331.887029
,215,6452,25,6720.119376,7426.315525,974.3155248,706.1961484,268.1193764
,216,6481,19,6899.960619,7363.388067,882.3880671,463.4274485,418.9606187
,217,6516,0,6672.543924,7522.073794,1006.073794,849.52987,156.5439235
,218,6554,5,6693.603009,7119.224906,565.2249065,425.6218979,139.6030086
,219,6589,27,6779.75901,6992.937339,403.9373394,213.1783291,190.7590103
,220,6623,17,6731.461975,7364.273163,741.2731632,632.8111883,108.4619749
,221,6653,9,6751.478424,7412.389916,759.3899158,660.9114918,98.47842403
,222,6687,14,6972.954542,7572.450997,885.4509972,599.4964554,285.9545418
,223,6712,10,7078.938687,7809.883281,1097.883281,730.9445943,366.938687
,224,6739,23,6938.331382,7470.98981,731.9898095,532.6584271,199.3313824
,225,6777,34,7268.232124,7593.618049,816.6180491,325.3859247,491.2321244
,226,6801,22,7546.067111,7993.86729,1192.86729,447.8001787,745.0671111
,227,6826,32,7256.16276,7616.176649,790.1766485,360.0138886,430.1627599
,228,6855,11,6941.579443,7589.74686,734.7468599,648.1674166,86.57944329
,229,6890,26,7511.93006,8131.647738,1241.647738,619.7176777,621.9300604
,230,6919,24,7087.860889,7461.526515,542.5265154,373.6656259,168.8608895
,231,6951,29,7099.165448,7644.843925,693.8439248,545.6784768,148.1654481
